measurement_id,nodeName,nodeLabel,nodeTitle,Alt1RefId,Alt2RefId,Alt3RefId,nodeSpecies,NodeDataType,Pipeline
BNP_targeted_proteins,ENSP00000365651,NPPB : P16860,NPPB [ENSP00000365651],P16860,ENST00000376468,ENSG00000120937,Protein,targeted_proteins,targeted_proteins
CKMB_targeted_proteins,ENSP00000221476,CKM : P06732,CKM [ENSP00000221476],P06732,ENST00000221476,ENSG00000104879,Protein,targeted_proteins,targeted_proteins
CXCL16_targeted_proteins,ENSP00000293778,CXCL16 : Q9H2A7,CXCL16 [ENSP00000293778],Q9H2A7,ENST00000293778,ENSG00000161921,Protein,targeted_proteins,targeted_proteins
CXCL6_targeted_proteins,ENSP00000226317,CXCL6 : P80162,CXCL6 [ENSP00000226317],P80162,ENST00000226317,ENSG00000124875,Protein,targeted_proteins,targeted_proteins
ENDOCAN1_targeted_proteins,ENSP00000370812,ESM1 : Q9NQ30,ESM1 [ENSP00000370812],Q9NQ30,ENST00000381405,ENSG00000164283,Protein,targeted_proteins,targeted_proteins
FABP3_targeted_proteins,ENSP00000362817,FABP3 : P05413,FABP3 [ENSP00000362817],P05413,ENST00000373713,ENSG00000121769,Protein,targeted_proteins,targeted_proteins
FABP4_targeted_proteins,ENSP00000256104,FABP4 : P15090,FABP4 [ENSP00000256104],P15090,ENST00000256104,ENSG00000170323,Protein,targeted_proteins,targeted_proteins
LIGHT_targeted_proteins,ENSP00000469049,TNFSF14 : O43557,TNFSF14 [ENSP00000469049],O43557,ENST00000599359,ENSG00000125735,Protein,targeted_proteins,targeted_proteins
NTproBNP_targeted_proteins,ENSP00000365651,NPPB : P16860,NPPB [ENSP00000365651],P16860,ENST00000376468,ENSG00000120937,Protein,targeted_proteins,targeted_proteins
OSM_targeted_proteins,ENSP00000215781,OSM : P13725,OSM [ENSP00000215781],P13725,ENST00000215781,ENSG00000099985,Protein,targeted_proteins,targeted_proteins
PIGF_targeted_proteins,ENSP00000281382,PIGF : Q07326,PIGF [ENSP00000281382],Q07326,ENST00000281382,ENSG00000151665,Protein,targeted_proteins,targeted_proteins
TROPONIN.I_targeted_proteins,ENSP00000341838,TNNI3 : P19429,TNNI3 [ENSP00000341838],P19429,ENST00000344887,ENSG00000129991,Protein,targeted_proteins,targeted_proteins
ADAMTS_targeted_proteins,ENSP00000360997,ADAMTS13 : Q76LX8,ADAMTS13 [ENSP00000360997],Q76LX8,ENST00000371929,ENSG00000160323,Protein,targeted_proteins,targeted_proteins
D.DIMER_targeted_proteins,,,,,,,Protein,targeted_proteins,targeted_proteins
GDF15_targeted_proteins,ENSP00000252809,GDF15 : Q99988,GDF15 [ENSP00000252809],Q99988,ENST00000252809,ENSG00000130513,Protein,targeted_proteins,targeted_proteins
LIPOCALIN2.NGAL_targeted_proteins,"ENSP00000277480,ENSP00000362108",LCN2 : P80188,"LCN2 [ENSP00000277480],LCN2 [ENSP00000362108]",P80188,"ENST00000277480,ENST00000373017",ENSG00000148346,Protein,targeted_proteins,targeted_proteins
MPO_targeted_proteins,ENSP00000225275,MPO : P05164,MPO [ENSP00000225275],P05164,ENST00000225275,ENSG00000005381,Protein,targeted_proteins,targeted_proteins
MYOGLOBIN_targeted_proteins,ENSP00000352835,MB : P02144,MB [ENSP00000352835],P02144,ENST00000359787,ENSG00000198125,Protein,targeted_proteins,targeted_proteins
P.SELECTIN_targeted_proteins,ENSP00000263686,SELP : P16109,SELP [ENSP00000263686],P16109,ENST00000263686,ENSG00000174175,Protein,targeted_proteins,targeted_proteins
SAA_targeted_proteins,"ENSP00000348918,ENSP00000384906",SAA1 : P0DJI8,"SAA1 [ENSP00000348918],SAA1 [ENSP00000384906]",P0DJI8,"ENST00000356524,ENST00000405158",ENSG00000173432,Protein,targeted_proteins,targeted_proteins
ICAM1_CVD_targeted_proteins,ENSP00000264832,ICAM1 : P05362,ICAM1 [ENSP00000264832],P05362,ENST00000264832,ENSG00000090339,Protein,targeted_proteins,targeted_proteins
VCAM1_CVD_targeted_proteins,ENSP00000294728,VCAM1 : P19320,VCAM1 [ENSP00000294728],P19320,ENST00000294728,ENSG00000162692,Protein,targeted_proteins,targeted_proteins
A2M_targeted_proteins,ENSP00000323929,A2M : P01023,A2M [ENSP00000323929],P01023,ENST00000318602,ENSG00000175899,Protein,targeted_proteins,targeted_proteins
ADIPSIN_targeted_proteins,"ENSP00000332139,ENSP00000468253","CFD : P00746,CFD : K7ERG9","CFD [ENSP00000332139],CFD [ENSP00000468253]","P00746,K7ERG9","ENST00000327726,ENST00000592860",ENSG00000197766,Protein,targeted_proteins,targeted_proteins
AGP_targeted_proteins,ENSP00000259396,ORM1 : P02763,ORM1 [ENSP00000259396],P02763,ENST00000259396,ENSG00000229314,Protein,targeted_proteins,targeted_proteins
CRP_targeted_proteins,ENSP00000255030,CRP : P02741,CRP [ENSP00000255030],P02741,ENST00000255030,ENSG00000132693,Protein,targeted_proteins,targeted_proteins
FETUIN.A_targeted_proteins,"ENSP00000273784,ENSP00000393887","AHSG : C9JV77,AHSG : P02765","AHSG [ENSP00000273784],AHSG [ENSP00000393887]","C9JV77,P02765","ENST00000273784,ENST00000411641",ENSG00000145192,Protein,targeted_proteins,targeted_proteins
Fibrinogen_targeted_proteins,ENSP00000498441,FGA : P02671,FGA [ENSP00000498441],P02671,ENST00000651975,ENSG00000171560,Protein,targeted_proteins,targeted_proteins
HAPTOGLOBIN_targeted_proteins,ENSP00000348170,HP : P00738,HP [ENSP00000348170],P00738,ENST00000355906,ENSG00000257017,Protein,targeted_proteins,targeted_proteins
LSELECTIN_targeted_proteins,"ENSP00000236147,ENSP00000498227",SELL : P14151,"SELL [ENSP00000236147],SELL [ENSP00000498227]",P14151,"ENST00000236147,ENST00000650983",ENSG00000188404,Protein,targeted_proteins,targeted_proteins
PF4.CXCL4_targeted_proteins,ENSP00000296029,PF4 : P02776,PF4 [ENSP00000296029],P02776,ENST00000296029,ENSG00000163737,Protein,targeted_proteins,targeted_proteins
SAP_targeted_proteins,ENSP00000255040,APCS : P02743,APCS [ENSP00000255040],P02743,ENST00000255040,ENSG00000132703,Protein,targeted_proteins,targeted_proteins
VWF_targeted_proteins,ENSP00000261405,VWF : P04275,VWF [ENSP00000261405],P04275,ENST00000261405,ENSG00000110799,Protein,targeted_proteins,targeted_proteins
dPAPP.A_targeted_proteins,,,,,,,Protein,targeted_proteins,targeted_proteins
FOLLISTATIN_targeted_proteins,ENSP00000256759,FST : P19883,FST [ENSP00000256759],P19883,ENST00000256759,ENSG00000134363,Protein,targeted_proteins,targeted_proteins
Pecam.1_targeted_proteins,ENSP00000457421,PECAM1 : P16284,PECAM1 [ENSP00000457421],P16284,ENST00000563924,ENSG00000261371,Protein,targeted_proteins,targeted_proteins
Pentraxin.3_targeted_proteins,ENSP00000295927,PTX3 : P26022,PTX3 [ENSP00000295927],P26022,ENST00000295927,ENSG00000163661,Protein,targeted_proteins,targeted_proteins
sE.Selectin_targeted_proteins,ENSP00000331736,SELE : P16581,SELE [ENSP00000331736],P16581,ENST00000333360,ENSG00000007908,Protein,targeted_proteins,targeted_proteins
Thrombomodulin_targeted_proteins,ENSP00000366307,THBD : P07204,THBD [ENSP00000366307],P07204,ENST00000377103,ENSG00000178726,Protein,targeted_proteins,targeted_proteins
Tissue.Factor_targeted_proteins,ENSP00000334145,F3 : P13726,F3 [ENSP00000334145],P13726,ENST00000334047,ENSG00000117525,Protein,targeted_proteins,targeted_proteins
Troponin.T_targeted_proteins,"ENSP00000356286,ENSP00000499593","TNNT2 : A0A0A0MRJ5,TNNT2 : P45379","TNNT2 [ENSP00000356286],TNNT2 [ENSP00000499593]","A0A0A0MRJ5,P45379","ENST00000367317,ENST00000656932",ENSG00000118194,Protein,targeted_proteins,targeted_proteins
BDNF_targeted_proteins,ENSP00000414303,BDNF : P23560,BDNF [ENSP00000414303],P23560,ENST00000438929,ENSG00000176697,Protein,targeted_proteins,targeted_proteins
NGF_targeted_proteins,ENSP00000358525,NGF : P01138,NGF [ENSP00000358525],P01138,ENST00000369512,ENSG00000134259,Protein,targeted_proteins,targeted_proteins
