"measurement_id","nodeName","nodeLabel","nodeTitle","Alt1RefId","Alt2RefId","Alt3RefId","nodeSpecies","NodeDataType","Pipeline"
"CE.12.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.14.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.14.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.15.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.16.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.16.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.17.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.18.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.18.1._lipidomics","CIDm00078971","CE(18:1(9Z))","CE(18:1(9Z)) : HMDB0000918","HMDB0000918","RJECHNNFRHZQKU-DVPYOPPASA-N","Steroid esters","Metabolite","lipidomics","lipidomics"
"CE.18.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.18.3._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.18.4._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.20.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.20.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.20.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.20.3._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.20.4._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.20.5._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.22.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.22.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.22.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.22.4._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.22.5._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.22.6._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CE.24.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CER.14.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CER.16.0._lipidomics","CIDm00002498","Cer(d18:1/16:0)","Cer(d18:1/16:0) : HMDB0004949","HMDB0004949","YDNKGFDKKRUKPY-TURZORIXSA-N","Ceramides","Metabolite","lipidomics","lipidomics"
"CER.18.0._lipidomics","CIDm00643967","Cer(d18:1/18:0)","Cer(d18:1/18:0) : HMDB0004950","HMDB0004950","VODZWWMEJITOND-NXCSZAMKSA-N","Ceramides","Metabolite","lipidomics","lipidomics"
"CER.20.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CER.22.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CER.22.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CER.24.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CER.24.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"CER.26.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.12.0.16.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.12.0.18.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.14.0.16.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.14.0.18.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.14.0.18.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.16.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.16.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.18.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.18.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.18.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.18.3._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.20.4._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.20.5._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.22.5._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.0.22.6._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.1.18.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.16.1.18.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.0.18.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.0.18.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.0.18.3._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.1.18.1._lipidomics","CIDm00001324","DG(18:1(9Z)/18:1(9Z)/0:0)","DG(18:1(9Z)/18:1(9Z)/0:0) : HMDB0007218","HMDB0007218","AFSHUZFNMVJNKX-LLWMBOQKSA-N","Diradylglycerols","Metabolite","lipidomics","lipidomics"
"DAG.18.1.18.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.1.20.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.1.20.3._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.1.20.4._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.1.20.5._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.1.22.5._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.1.22.6._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.2.18.3._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.2.20.3._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.2.20.4._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.2.20.5._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.2.22.5._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.18.2.22.6._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DAG.20.0.20.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DCER.22.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DCER.22.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DCER.24.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"DCER.24.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"FFA.12.0._lipidomics","CIDm00003893","Dodecanoic acid","Dodecanoic acid : HMDB0000638","HMDB0000638","POULHZVOKOAJMA-UHFFFAOYSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.14.0._lipidomics","CIDm00011005","Myristic acid","Myristic acid : HMDB0000806","HMDB0000806","TUNFSRHWOTWDNC-UHFFFAOYSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.14.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"FFA.15.0._lipidomics","CIDm00013849","Pentadecanoic acid","Pentadecanoic acid : HMDB0000826","HMDB0000826","WQEPLUUGTLDZJY-UHFFFAOYSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.16.0._lipidomics","CIDm00000985","Palmitic acid","Palmitic acid : HMDB0000220","HMDB0000220","IPCSVZSSVZVIGE-UHFFFAOYSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.16.1._lipidomics","CIDm00004668","Palmitoleic acid","Palmitoleic acid : HMDB0003229","HMDB0003229","SECPZKHBENQXJG-FPLPWBNLSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.17.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"FFA.18.0._lipidomics","CIDm00005281","Stearic acid","Stearic acid : HMDB0000827","HMDB0000827","QIQXTHQIDYTFRH-UHFFFAOYSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.18.1._lipidomics","CIDm00000965","Oleic acid","Oleic acid : HMDB0000207","HMDB0000207","ZQPPMHVWECSIRJ-KTKRTIGZSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.18.2._lipidomics","CIDm00003931","Linoleic acid","Linoleic acid : HMDB0000673","HMDB0000673","OYHQOLUKZRVURQ-HZJYTTRNSA-N","Lineolic acids and derivatives","Metabolite","lipidomics","lipidomics"
"FFA.18.3._lipidomics","CIDm00000860","alpha-Linolenic acid","alpha-Linolenic acid : HMDB0001388","HMDB0001388","DTOSIQBPPRVQHS-PDBXOOCHSA-N","Lineolic acids and derivatives","Metabolite","lipidomics","lipidomics"
"FFA.18.4._lipidomics",,,,,,,,"lipidomics","lipidomics"
"FFA.20.0._lipidomics","CIDm00010467","Arachidic acid","Arachidic acid : HMDB0002212","HMDB0002212","VKOBVWXKNCXXDE-UHFFFAOYSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.20.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"FFA.20.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
"FFA.20.3._lipidomics","CIDm00003011","Dihomo-gamma-linolenic acid","Dihomo-gamma-linolenic acid : HMDB0002925","HMDB0002925","HOBAELRKJCKHQD-QNEBEIHSSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.20.4._lipidomics","CIDm00000231","Arachidonic acid","Arachidonic acid : HMDB0001043","HMDB0001043","YZXBAPSDXZZRGB-DOFZRALJSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.20.5._lipidomics","CIDm00003209","Eicosapentaenoic acid","Eicosapentaenoic acid : HMDB0001999","HMDB0001999","JAZBEHYOTPTENJ-JLNKQSITSA-N","Fatty acids and conjugates","Metabolite","lipidomics","lipidomics"
"FFA.22.0._lipidomics",,,,,,,,"lipidomics","lipidomics"
"FFA.22.1._lipidomics",,,,,,,,"lipidomics","lipidomics"
"FFA.22.2._lipidomics",,,,,,,,"lipidomics","lipidomics"
