"measurement_id","nodeName","nodeLabel","nodeTitle","Alt1RefId","Alt2RefId","Alt3RefId","nodeSpecies","NodeDataType","Pipeline"
"Hydroxybutyric.acid_metabolomics",,,,,,,,"metabolomics","metabolomics"
"L.Serine_metabolomics","CIDm00000617","L-Serine","L-Serine : HMDB0000187","HMDB0000187","MTCFGRXMJLQNBG-REOHCLBHSA-N","Amino acids, peptides, and analogues","Metabolite","metabolomics","metabolomics"
"Thiosulfic.acid_metabolomics","CIDm00001084","Thiosulfate","Thiosulfate : HMDB0000257","HMDB0000257","DHCDFWKWKRSZHF-UHFFFAOYSA-N","Non-metal thiosulfates","Metabolite","metabolomics","metabolomics"
"Alpha.ketoisovaleric.acid_metabolomics","CIDm00000049","alpha-Ketoisovaleric acid","alpha-Ketoisovaleric acid : HMDB0000019","HMDB0000019","QHKABHOOEWYVLI-UHFFFAOYSA-N","Short-chain keto acids and derivatives","Metabolite","metabolomics","metabolomics"
"Acetylglycine_metabolomics",,,,,,,,"metabolomics","metabolomics"
"L.Valine_metabolomics","CIDm00001182","L-Valine","L-Valine : HMDB0000883","HMDB0000883","KZSNJWFQEVHDMF-BYPYZUCNSA-N","Amino acids, peptides, and analogues","Metabolite","metabolomics","metabolomics"
"L.Threonine_metabolomics","CIDm00000205","L-Threonine","L-Threonine : HMDB0000167","HMDB0000167","AYFVYJQAPQTCCC-GBXIJSLDSA-N","Amino acids, peptides, and analogues","Metabolite","metabolomics","metabolomics"
"L.Cysteine_metabolomics","CIDm00000594","L-Cysteine","L-Cysteine : HMDB0000574","HMDB0000574","XUJNEKJLAYXESH-REOHCLBHSA-N","Amino acids, peptides, and analogues","Metabolite","metabolomics","metabolomics"
"Taurine_metabolomics","CIDm00001123","Taurine","Taurine : HMDB0000251","HMDB0000251","XOAAWQZATWQOTB-UHFFFAOYSA-N","Organosulfonic acids and derivatives","Metabolite","metabolomics","metabolomics"
"X2.Hydroxyethanesulfonate.1._metabolomics","CIDm00007866","2-Hydroxyethanesulfonate","2-Hydroxyethanesulfonate : HMDB0003903","HMDB0003903","SUMDYPCJJOFFON-UHFFFAOYSA-N","Organosulfonic acids and derivatives","Metabolite","metabolomics","metabolomics"
"X2.Hydroxyethanesulfonate.2._metabolomics","CIDm00007866","2-Hydroxyethanesulfonate","2-Hydroxyethanesulfonate : HMDB0003903","HMDB0003903","SUMDYPCJJOFFON-UHFFFAOYSA-N","Organosulfonic acids and derivatives","Metabolite","metabolomics","metabolomics"
"L.Isoleucine.L.Leucine_metabolomics",,,,,,,,"metabolomics","metabolomics"
"Ethylmalonic.acid_metabolomics","CIDm00011756","Ethylmalonic acid","Ethylmalonic acid : HMDB0000622","HMDB0000622","UKFXDFUAPNAMPJ-UHFFFAOYSA-N","Fatty acids and conjugates","Metabolite","metabolomics","metabolomics"
"L.Asparagine_metabolomics","CIDm00000236","L-Asparagine","L-Asparagine : HMDB0000168","HMDB0000168","DCXYFEDJOCDNAF-REOHCLBHSA-N","Amino acids, peptides, and analogues","Metabolite","metabolomics","metabolomics"
