"measurement_id","nodeName","nodeLabel","nodeTitle","Alt1RefId","Alt2RefId","Alt3RefId","nodeSpecies","NodeDataType","Pipeline"
"IGLL5_proteomics","ENSP00000431254","IGLL5 : B9A064","IGLL5 [ENSP00000431254]","B9A064","ENST00000526893","ENSG00000254709","Protein","proteomics","proteomics"
"MASP2_proteomics","ENSP00000383690","MASP2 : O00187","MASP2 [ENSP00000383690]","O00187","ENST00000400897","ENSG00000009724","Protein","proteomics","proteomics"
"QSOX1_proteomics","ENSP00000356574","QSOX1 : O00391","QSOX1 [ENSP00000356574]","O00391","ENST00000367602","ENSG00000116260","Protein","proteomics","proteomics"
"APOL1_proteomics","ENSP00000317674","APOL1 : O14791","APOL1 [ENSP00000317674]","O14791","ENST00000319136","ENSG00000100342","Protein","proteomics","proteomics"
"CD5L_proteomics","ENSP00000357156","CD5L : O43866","CD5L [ENSP00000357156]","O43866","ENST00000368174","ENSG00000073754","Protein","proteomics","proteomics"
"ICOSLG_proteomics","ENSP00000339477","ICOSLG : O75144","ICOSLG [ENSP00000339477]","O75144","ENST00000344330","ENSG00000160223","Protein","proteomics","proteomics"
"FCN3_proteomics","ENSP00000270879","FCN3 : O75636","FCN3 [ENSP00000270879]","O75636","ENST00000270879","ENSG00000142748","Protein","proteomics","proteomics"
"EIF3J_proteomics","ENSP00000261868","EIF3J : O75822","EIF3J [ENSP00000261868]","O75822","ENST00000261868","ENSG00000104131","Protein","proteomics","proteomics"
"ATRN_proteomics","ENSP00000262919","ATRN : O75882","ATRN [ENSP00000262919]","O75882","ENST00000262919","ENSG00000088812","Protein","proteomics","proteomics"
"ATRN.1_proteomics","ENSP00000262919","ATRN : O75882","ATRN [ENSP00000262919]","O75882","ENST00000262919","ENSG00000088812","Protein","proteomics","proteomics"
"APOM_proteomics","ENSP00000365081","APOM : O95445","APOM [ENSP00000365081]","O95445","ENST00000375916","ENSG00000204444","Protein","proteomics","proteomics"
"CP_proteomics","ENSP00000264613","CP : P00450","CP [ENSP00000264613]","P00450","ENST00000264613","ENSG00000047457","Protein","proteomics","proteomics"
"F13A1_proteomics","ENSP00000264870","F13A1 : P00488","F13A1 [ENSP00000264870]","P00488","ENST00000264870","ENSG00000124491","Protein","proteomics","proteomics"
"F2_proteomics","ENSP00000308541","F2 : P00734","F2 [ENSP00000308541]","P00734","ENST00000311907","ENSG00000180210","Protein","proteomics","proteomics"
"C1R_proteomics",,"C1R : P00736","C1R [ENSP?]","P00736",,"ENSG00000159403","Protein","proteomics","proteomics"
"HP_proteomics","ENSP00000348170","HP : P00738","HP [ENSP00000348170]","P00738","ENST00000355906","ENSG00000257017","Protein","proteomics","proteomics"
"HPR_proteomics","ENSP00000441828","HPR : P00739","HPR [ENSP00000441828]","P00739","ENST00000540303","ENSG00000261701","Protein","proteomics","proteomics"
"F9_proteomics","ENSP00000218099","F9 : P00740","F9 [ENSP00000218099]","P00740","ENST00000218099","ENSG00000101981","Protein","proteomics","proteomics"
"F10_proteomics","ENSP00000364709","F10 : P00742","F10 [ENSP00000364709]","P00742","ENST00000375559","ENSG00000126218","Protein","proteomics","proteomics"
"CFD_proteomics","ENSP00000332139","CFD : P00746","CFD [ENSP00000332139]","P00746","ENST00000327726","ENSG00000197766","Protein","proteomics","proteomics"
"PLG_proteomics","ENSP00000308938","PLG : P00747","PLG [ENSP00000308938]","P00747","ENST00000308192","ENSG00000122194","Protein","proteomics","proteomics"
"F12_proteomics","ENSP00000253496","F12 : P00748","F12 [ENSP00000253496]","P00748","ENST00000253496","ENSG00000131187","Protein","proteomics","proteomics"
"CFB_proteomics","ENSP00000416561","CFB : P00751","CFB [ENSP00000416561]","P00751","ENST00000425368","ENSG00000243649","Protein","proteomics","proteomics"
"CA1_proteomics","ENSP00000430656","CA1 : P00915","CA1 [ENSP00000430656]","P00915","ENST00000523953","ENSG00000133742","Protein","proteomics","proteomics"
"SERPINC1_proteomics","ENSP00000356671","SERPINC1 : P01008","SERPINC1 [ENSP00000356671]","P01008","ENST00000367698","ENSG00000117601","Protein","proteomics","proteomics"
"SERPINA1_proteomics","ENSP00000348068,ENSP00000416066","SERPINA1 : P01009","SERPINA1 [ENSP00000348068],SERPINA1 [ENSP00000416066]","P01009","ENST00000355814,ENST00000448921","ENSG00000197249","Protein","proteomics","proteomics"
"SERPINA3_proteomics","ENSP00000376793,ENSP00000450540","SERPINA3 : P01011","SERPINA3 [ENSP00000376793],SERPINA3 [ENSP00000450540]","P01011","ENST00000393078,ENST00000467132","ENSG00000196136","Protein","proteomics","proteomics"
"AGT_proteomics","ENSP00000355627","AGT : P01019","AGT [ENSP00000355627]","P01019","ENST00000366667","ENSG00000135744","Protein","proteomics","proteomics"
"A2M_P_proteomics","ENSP00000323929","A2M : P01023","A2M [ENSP00000323929]","P01023","ENST00000318602","ENSG00000175899","Protein","proteomics","proteomics"
"C3_proteomics","ENSP00000245907","C3 : P01024","C3 [ENSP00000245907]","P01024","ENST00000245907","ENSG00000125730","Protein","proteomics","proteomics"
"C5_proteomics","ENSP00000223642","C5 : P01031","C5 [ENSP00000223642]","P01031","ENST00000223642","ENSG00000106804","Protein","proteomics","proteomics"
"CST3_proteomics","ENSP00000366124,ENSP00000381448","CST3 : P01034","CST3 [ENSP00000366124],CST3 [ENSP00000381448]","P01034","ENST00000376925,ENST00000398411","ENSG00000101439","Protein","proteomics","proteomics"
"KNG1_proteomics","ENSP00000493985","KNG1 : P01042","KNG1 [ENSP00000493985]","P01042","ENST00000644859","ENSG00000113889","Protein","proteomics","proteomics"
"IGF2_proteomics","ENSP00000391826","IGF2 : P01344","IGF2 [ENSP00000391826]","P01344","ENST00000434045","ENSG00000167244","Protein","proteomics","proteomics"
"JCHAIN_proteomics","ENSP00000254801","JCHAIN : P01591","JCHAIN [ENSP00000254801]","P01591","ENST00000254801","ENSG00000132465","Protein","proteomics","proteomics"
"IGKV1D.33_1_proteomics",,"IGKV1D.33_1 : P01593","IGKV1D.33_1 [ENSP?]","P01593",,,"Protein","proteomics","proteomics"
"IGKV1.33_proteomics",,"IGKV1.33 : P01594","IGKV1.33 [ENSP?]","P01594",,,"Protein","proteomics","proteomics"
"IGKV1D.16_proteomics",,"IGKV1D.16 : P01601","IGKV1D.16 [ENSP?]","P01601",,,"Protein","proteomics","proteomics"
"IGKV1.39_proteomics",,"IGKV1.39 : P01608","IGKV1.39 [ENSP?]","P01608",,,"Protein","proteomics","proteomics"
"IGKV1D.33_2_proteomics",,"IGKV1D.33_2 : P01609","IGKV1D.33_2 [ENSP?]","P01609",,,"Protein","proteomics","proteomics"
"IGKV1D.33_3_proteomics",,"IGKV1D.33_3 : P01613","IGKV1D.33_3 [ENSP?]","P01613",,,"Protein","proteomics","proteomics"
"IGKV3.20_proteomics",,"IGKV3.20 : P01621","IGKV3.20 [ENSP?]","P01621",,,"Protein","proteomics","proteomics"
"IGLV1.44_proteomics",,"IGLV1.44 : P01699","IGLV1.44 [ENSP?]","P01699",,,"Protein","proteomics","proteomics"
"IGLV1.47_proteomics",,"IGLV1.47 : P01700","IGLV1.47 [ENSP?]","P01700",,,"Protein","proteomics","proteomics"
"IGLV1.40_proteomics",,"IGLV1.40 : P01703","IGLV1.40 [ENSP?]","P01703",,,"Protein","proteomics","proteomics"
"IGLV3.19_proteomics",,"IGLV3.19 : P01714","IGLV3.19 [ENSP?]","P01714",,,"Protein","proteomics","proteomics"
"IGLV3.25_proteomics",,"IGLV3.25 : P01717","IGLV3.25 [ENSP?]","P01717",,,"Protein","proteomics","proteomics"
"IGLV3.21_1_proteomics",,"IGLV3.21_1 : P01719","IGLV3.21_1 [ENSP?]","P01719",,,"Protein","proteomics","proteomics"
"IGHV1.46_proteomics",,"IGHV1.46 : P01743","IGHV1.46 [ENSP?]","P01743",,,"Protein","proteomics","proteomics"
"IGHV3.48_proteomics",,"IGHV3.48 : P01763","IGHV3.48 [ENSP?]","P01763",,,"Protein","proteomics","proteomics"
"IGHV3.23_proteomics",,"IGHV3.23 : P01764","IGHV3.23 [ENSP?]","P01764",,,"Protein","proteomics","proteomics"
"IGHV3.13_proteomics",,"IGHV3.13 : P01766","IGHV3.13 [ENSP?]","P01766",,,"Protein","proteomics","proteomics"
"IGHV3.53_proteomics",,"IGHV3.53 : P01767","IGHV3.53 [ENSP?]","P01767",,,"Protein","proteomics","proteomics"
"IGHV3.30_2_proteomics",,"IGHV3.30_2 : P01770","IGHV3.30_2 [ENSP?]","P01770",,,"Protein","proteomics","proteomics"
"IGHV3.33_1_proteomics",,"IGHV3.33_1 : P01771","IGHV3.33_1 [ENSP?]","P01771",,,"Protein","proteomics","proteomics"
"IGHV3.33_2_proteomics",,"IGHV3.33_2 : P01772","IGHV3.33_2 [ENSP?]","P01772",,,"Protein","proteomics","proteomics"
"IGHV3.30_proteomics",,"IGHV3.30 : P01773","IGHV3.30 [ENSP?]","P01773",,,"Protein","proteomics","proteomics"
"IGHV3.7_1_proteomics",,"IGHV3.7_1 : P01780","IGHV3.7_1 [ENSP?]","P01780",,,"Protein","proteomics","proteomics"
"IGHV3.7_2_proteomics",,"IGHV3.7_2 : P01781","IGHV3.7_2 [ENSP?]","P01781",,,"Protein","proteomics","proteomics"
"IGHV4.39_proteomics",,"IGHV4.39 : P01824","IGHV4.39 [ENSP?]","P01824",,,"Protein","proteomics","proteomics"
"PIGR_proteomics","ENSP00000348888","PIGR : P01833","PIGR [ENSP00000348888]","P01833","ENST00000356495","ENSG00000162896","Protein","proteomics","proteomics"
"IGKC_proteomics",,"IGKC : P01834","IGKC [ENSP?]","P01834",,,"Protein","proteomics","proteomics"
"IGHG1_proteomics",,"IGHG1 : P01857","IGHG1 [ENSP?]","P01857",,,"Protein","proteomics","proteomics"
"IGHG2_proteomics",,"IGHG2 : P01859","IGHG2 [ENSP?]","P01859",,,"Protein","proteomics","proteomics"
"IGHG3_proteomics",,"IGHG3 : P01860","IGHG3 [ENSP?]","P01860",,,"Protein","proteomics","proteomics"
"IGHG4_proteomics",,"IGHG4 : P01861","IGHG4 [ENSP?]","P01861",,,"Protein","proteomics","proteomics"
"IGHM_1_proteomics",,"IGHM_1 : P01871","IGHM_1 [ENSP?]","P01871",,,"Protein","proteomics","proteomics"
"IGHA1_proteomics",,"IGHA1 : P01876","IGHA1 [ENSP?]","P01876",,,"Protein","proteomics","proteomics"
"IGHA2_proteomics",,"IGHA2 : P01877","IGHA2 [ENSP?]","P01877",,,"Protein","proteomics","proteomics"
"IGHD_proteomics",,"IGHD : P01880","IGHD [ENSP?]","P01880",,,"Protein","proteomics","proteomics"
"HBD_proteomics","ENSP00000494708","HBD : P02042","HBD [ENSP00000494708]","P02042","ENST00000643122","ENSG00000223609","Protein","proteomics","proteomics"
"APOA1_proteomics","ENSP00000236850","APOA1 : P02647","APOA1 [ENSP00000236850]","P02647","ENST00000236850","ENSG00000118137","Protein","proteomics","proteomics"
"APOE_proteomics","ENSP00000252486","APOE : P02649","APOE [ENSP00000252486]","P02649","ENST00000252486","ENSG00000130203","Protein","proteomics","proteomics"
"APOA2_proteomics","ENSP00000356969","APOA2 : P02652","APOA2 [ENSP00000356969]","P02652","ENST00000367990","ENSG00000158874","Protein","proteomics","proteomics"
"APOC1_proteomics","ENSP00000465356","APOC1 : P02654","APOC1 [ENSP00000465356]","P02654","ENST00000588750","ENSG00000130208","Protein","proteomics","proteomics"
