"measurement_id","nodeName","nodeLabel","nodeTitle","Alt1RefId","Alt2RefId","Alt3RefId","nodeSpecies","NodeDataType","Pipeline"
"ENSG00000000419.12_RNAseq","ENST00000371582,ENST00000371588","DPM1","DPM1 [ENST00000371582],DPM1 [ENST00000371588]","DPM1","ENST00000371582,ENST00000371588","ENSG00000000419","RNA","RNAseq","transcriptomics"
"ENSG00000000457.13_RNAseq","ENST00000367770,ENST00000367772","SCYL3","SCYL3 [ENST00000367770],SCYL3 [ENST00000367772]","SCYL3","ENST00000367770,ENST00000367772","ENSG00000000457","RNA","RNAseq","transcriptomics"
"ENSG00000000460.16_RNAseq","ENST00000286031","C1orf112","C1orf112 [ENST00000286031]","C1orf112","ENST00000286031","ENSG00000000460","RNA","RNAseq","transcriptomics"
"ENSG00000000938.12_RNAseq","ENST00000374003,ENST00000374005","FGR","FGR [ENST00000374003],FGR [ENST00000374005]","FGR","ENST00000374003,ENST00000374005","ENSG00000000938","RNA","RNAseq","transcriptomics"
"ENSG00000000971.15_RNAseq","ENST00000367429","CFH","CFH [ENST00000367429]","CFH","ENST00000367429","ENSG00000000971","RNA","RNAseq","transcriptomics"
"ENSG00000001036.13_RNAseq","ENST00000002165","FUCA2","FUCA2 [ENST00000002165]","FUCA2","ENST00000002165","ENSG00000001036","RNA","RNAseq","transcriptomics"
"ENSG00000001084.11_RNAseq","ENST00000650454","GCLC","GCLC [ENST00000650454]","GCLC","ENST00000650454","ENSG00000001084","RNA","RNAseq","transcriptomics"
"ENSG00000001167.14_RNAseq","ENST00000341376","NFYA","NFYA [ENST00000341376]","NFYA","ENST00000341376","ENSG00000001167","RNA","RNAseq","transcriptomics"
"ENSG00000001460.17_RNAseq","ENST00000003583,ENST00000337248,ENST00000374409,ENST00000435187,ENST00000438866,ENST00000468303,ENST00000475760,ENST00000483261,ENST00000483528,ENST00000492753,ENST00000497384,ENST00000498488","STPG1","STPG1 [ENST00000003583],STPG1 [ENST00000337248],STPG1 [ENST00000374409],STPG1 [ENST00000435187],STPG1 [ENST00000438866],STPG1 [ENST00000468303],STPG1 [ENST00000475760],STPG1 [ENST00000483261],STPG1 [ENST00000483528],STPG1 [ENST00000492753],STPG1 [ENST00000497384],STPG1 [ENST00000498488]","STPG1","ENST00000003583,ENST00000337248,ENST00000374409,ENST00000435187,ENST00000438866,ENST00000468303,ENST00000475760,ENST00000483261,ENST00000483528,ENST00000492753,ENST00000497384,ENST00000498488","ENSG00000001460","RNA","RNAseq","transcriptomics"
"ENSG00000001461.16_RNAseq","ENST00000374399","NIPAL3","NIPAL3 [ENST00000374399]","NIPAL3","ENST00000374399","ENSG00000001461","RNA","RNAseq","transcriptomics"
